ScrapeDate,BigBoardsUsed,MockDraftsUsed,TeamBasedMockDraftsUsed,ProspectCount,LastUpdated
2021-08-02,2,6,0,94,25 days ago
2021-08-10,2,6,0,94,1 month ago
2021-08-15,2,6,0,94,1 month ago
2021-09-03,2,7,0,107,11 days ago
2021-10-03,2,8,0,106,4 days ago
2021-10-20,3,9,0,158,2 days ago
2021-10-25,3,10,0,167,18 hours ago
2021-12-31,3,12,0,232,2 days ago
2022-01-03,3,12,0,240,2 days ago
2022-01-10,3,12,0,280,11 hours ago
2022-01-11,3,12,0,283,3 hours ago
2022-01-14,3,12,0,308,7 hours ago
2022-01-17,3,13,0,320,2 hours ago
2022-01-18,3,13,0,322,11 hours ago
2022-01-20,3,13,0,328,15 minutes ago
2022-01-22,3,13,0,328,8 hours ago
2022-01-27,3,13,0,399,3 days ago
2022-02-09,4,13,0,409,2 days ago
