School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Texas A&M,SEC,287,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Georgia,SEC,248,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Alabama,SEC,187,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Penn State,Big Ten,167,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Ohio State,Big Ten,133,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
LSU,SEC,118,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Kentucky,SEC,115,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
Clemson,ACC,110,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
Texas,Big 12,93,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
Florida,SEC,82,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
Oklahoma,Big 12,79,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
Michigan,Big Ten,69,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
USC,Pac 12,53,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
North Carolina,ACC,52,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
Miami (FL),ACC,45,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
Iowa,Big Ten,45,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
Notre Dame,FBS - Independent,45,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Ole Miss,SEC,40,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Florida State,ACC,38,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
South Carolina,SEC,36,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
Missouri,SEC,30,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg
Stanford,Pac 12,30,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/stanford.svg
Oklahoma State,Big 12,29,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma_st.svg
Maryland,Big Ten,26,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/maryland.svg
Arizona,Pac 12,26,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona.svg
Houston,FBS - AAC,26,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/houston.svg
Colorado,Pac 12,26,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado.svg
Oregon,Pac 12,22,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Oregon State,Pac 12,20,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon_st.svg
Illinois,Big Ten,20,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/illinois.svg
West Virginia,Big 12,19,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/west_virginia.svg
Wisconsin,Big Ten,15,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wisconsin.svg
Utah,Pac 12,14,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah.svg
Vanderbilt,SEC,13,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/vanderbilt.svg
Jackson State,FCS,10,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/jackson_st.svg
TCU,Big 12,8,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tcu.svg
Tulsa,FBS - AAC,7,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tulsa.svg
California,Pac 12,7,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/california.svg
Tennessee,SEC,7,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tennessee.svg
UConn,FBS - AAC,7,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/uconn.svg
SMU,FBS - AAC,7,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/smu.svg
NC State,ACC,7,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nc_st.svg
Michigan State,Big Ten,7,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan_st.svg
Baylor,Big 12,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/baylor.svg
Pitt,ACC,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/pittsburgh.svg
Georgia Southern,FBS - Sun Belt,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia_southern.svg
Florida International,FBS - CUSA,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_international.svg
UTSA,FBS - CUSA,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utsa.svg
South Florida,FBS - AAC,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_florida.svg
Virginia Tech,ACC,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/virginia_tech.svg
San Jose State,FBS - Mountain West,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/san_jose_st.svg
BYU,FBS - Independent,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/byu.svg
